末代皇帝 The Last Emperor
贝纳尔多·贝托鲁奇
尊龙,陈冲,邬君梅,彼得·奥图尔,英若诚,吴涛,黄自强,丹尼斯·邓恩,坂本龙一,马吉·汉,里克·扬,田川洋行,苟杰德,理查德·吴,皱缇格,陈凯歌,卢燕,区亨利,陈述,鲍皓昕,黄文捷,邵茹贞,亨利·基,张良斌,梁冬,康斯坦丁·格雷戈里,黄汉琪,王涛,宋怀桂,蔡鸿翔,程淑艳,张天民
片长:
"
"
UserName,Watched Already,Comments,Dates,Review_Score,Upvote
光年‖影视歌三栖民工,看过,溥仪登基之初的十六抬大辇，和片末游行时红卫兵扛在肩上的毛泽东像，讽刺意味浓重。感觉导演还想告诉我更多的东西。但我更多是对这位末代皇帝的同情，还有艳慕。。。好喜欢大被同床的双飞镜头。,2009-03-18 15:52:04,allstar50 rating,9014
单线程青年,看过,不偏袒的好片儿！一个进自己原来的宫殿还要买票的皇帝。,2008-03-24 09:06:17,allstar50 rating,7664
托尼·王大拿,看过,"尽管看一群中国人在屏幕上讲英语很是奇怪，但不能否认这是部出色的电影：它与国家无关，与王朝无关，这只是一个渴望自由却不得的人的编年史；""门""的意象被反复提及，寓意溥仪被禁闭的一生；贝托鲁奇娴熟的运镜，要人命的广角自然光，美妙的配乐。",2011-03-21 16:43:30,allstar50 rating,5157
FloriaZENG,看过,再找不到比尊龙更适合演赙仪的人了，自带贵气，就连落魄时，虽眼里悲戚，但仍有傲骨。电影里使用了很多暗喻，不断出现和关闭的门，展示故宫之大的广角镜头，让他仿佛是个困兽，出生就注定了没有选择和自主的权利，获得过至高尊严，又被世界踩在脚下。他的经历，只怕这电影无法诠释更多。,2017-10-27 00:12:57,allstar50 rating,310
张维托,看过,就像尊龙说的 溥仪到死都没有和这个世界connected过,2017-02-27 07:37:23,allstar50 rating,418
今天活下来了💦,看过,这部电影让我搞懂了什么叫做“克制的镜头”。克制的镜头就是导演是个冷静的人，尽量在影片中不要掺杂进太多个人的情感。这就是了，两个半小时看下来只有嫌短的份。这片子难道没有五个小时的么？贝托鲁奇很棒，特别是他镜头里的颜色，都会讲话！看了这部片子你就懂为什么建党伟业和建国大业只能拿一星了,2012-01-25 02:19:20,allstar50 rating,275
TM,看过,四个小时啊。。。。会死人的,2008-11-18 00:26:50,allstar30 rating,125
Mignon,看过,作为一个外国导演不可能拍得更好了，但我是一个中国人。,2008-07-14 21:05:09,allstar40 rating,1178
周游雪场,看过,喜欢尊龙。他把溥仪演的太好了。事实上溥仪哪里值得那么多同情呢，他的一生在不幸中成就了大幸，在那个乱世里，他比几乎所有人都过得要好，过着国宝大熊猫的生活。他做错了的事，有人代为受过。他没有的气节和美感，还有人演出来赐给他,2017-12-31 00:37:07,allstar40 rating,810
翳生,看过,最吸引我的是里面的情欲,2007-09-20 00:07:36,allstar50 rating,470
米粒,看过,贝托鲁奇太有表现力了，东方的神韵被这样一个老外拿捏得戳中我泪点。纵使溥仪是天子，son of the heaven，也挡不住紫禁城的幽闭，阻止不了离他而去的亲人和一扇扇关上的大门。音乐绝赞，演员表演细腻（陈冲和尊龙真棒啊！） 2017.05.13 重看,2012-06-13 04:55:37,allstar50 rating,235
南笙,看过,26岁的陈冲真是美得叫人目瞪口呆,2013-01-07 22:57:44,allstar40 rating,789
百草幽香,看过,据说，贝尔托鲁奇曾说过，他所有的电影其实都是在讲述一个主题，那就是“个人是历史的人质”，这部片子尤其如此。溥仪与其说是皇帝，不如说是紫禁城的囚徒罢了。所以，片子中反复出现了门的意象。外国人拍中国历史，有种中国影片少见的温情，同时，从外国人的眼睛里看中国，也有比较怪的地方。,2016-04-27 21:01:02,allstar40 rating,371
Obtson,看过,非常赞叹这是一个意大利人的作品，西方人眼中的东方却比纯东方式的自审更让人动容。它的极致悲怆并不是喊口号式的疾走嚎啕，只是诉说，用一个人的一生去淘尽时代凄凉。陈冲的泪妆食花，尊龙的梦回太和，大清、伪满、新华，颠沛易帜遍野坟冢。这是一个人被监禁一生的故事。,2012-10-23 15:06:51,allstar40 rating,266
九只苍蝇撞墙,看过,这样一个浸透着丰富历史细节的题材，却被贝尔托鲁奇巧妙地绕过，而用人物绝望而无效的挣扎作为影片的主导。不被历史所诱惑，而倾心于对人物内心情感逻辑的体察，这是贝尔托鲁奇的水平所在，也是同代中国大陆导演所完全不具备的视野。尽管东方主义的外在形式和不接地气的演员们不太给力，但依然是西方人视角中对中国最好的影像描述。,2018-09-20 23:16:36,allstar40 rating,110
LOOK,看过,帕索里尼由自由间接引语衍生出来的诗意电影理论最好的例子，当角色的主观视点与摄影机的客观视点之间的区分消失了的时候，诗意就出现了。主观回忆与客观历史无从区分造就了恢弘辽阔又梦幻的电影诗意。高度风格化的色彩、声音等参数都可以从这个角度理解。并非简单的舞台化的为了表现而表现。,2017-01-22 11:58:26,allstar40 rating,86
路西法尔,看过,切入点就像是《纽约时报》的专栏似的，特意避开宏大叙事，可是真避得开吗？让一个人承认自己不再是皇帝和使一个国家不再承认皇帝一样困难，这困难本是中国现代化进程的一部分。世界和中国在八十年代对中国的未来都有一种肤浅的乐观，以为把荒诞都看透了，这种“看透”本身就意味着没看透。,2015-04-09 16:26:15,allstar40 rating,78
Lycidas,看过,#SIFF 重看。跑得再快也追不上任何生命中重要的人，喊得再大声也叫不开面前关上的一道道门，无论做什么决定似乎都是错，只有寂寞的禁锢和未竟的梦想始终萦绕不去，这样的活着究竟有没有意义？也许一切都只是一场繁华落尽的幻象，一场无法醒来的帝王之梦。,2015-06-20 19:14:58,allstar50 rating,219
fomalhaut,看过,很久没有这么认真的看完一部电影，中途完全没有暂停一秒钟去刷豆瓣或打怪。一个人，一个国家，一个时代；个人的意志，国家的剧变，时代的动荡。历史和人性的结合天衣无缝，平铺直叙的真实却引人扼腕深思。我相信天朝电影到现在也无法超越这部1987年的神作,2012-09-14 02:50:09,allstar50 rating,173
夏奈,看过,唯一的缺憾是，英文原声太奇怪，中文配音又差得离谱。#陈冲真的太会演戏了#,2017-06-28 19:02:00,allstar40 rating,104
起床，吃饭,看过,重温了一遍。拍得是真好，大场面、细节、灯光、调度无可挑剔。可终究不是中国人，总会让人出戏。人物造型也比较脸谱化。,2016-02-23 22:11:27,allstar40 rating,62
朝暮雪,看过,他曾经拥有整个中国。,2017-04-15 22:58:14,allstar50 rating,278
Paco,看过,以一人传记的模式铺排，却举重若轻地勾勒出了一国史诗。哪里只有皇帝，又哪里只限于末代，它讲的就是整个中国。贝托鲁奇做到了最难的事——站在所有人的角度上讲故事。谁都有荣耻，谁也都被褒贬。那些历史纠葛与文化自囚、坍塌的与重铸的，摆着就是多么可笑的一切，却永世只会引人无尽伤悲。,2016-08-19 01:17:29,allstar50 rating,123
toba yang,看过,前半部分蛮可爱 印象最深是英文原声 和外国人对中国历史的认知 有那么一种说不清的乐观,2005-12-26 13:10:11,allstar40 rating,59
20个小明≯,看过,这部作品从各方面来说都称得上是部空前绝后的佳作！服装，摄影，配乐，简直绝了！贝托鲁奇把这段历史拍的好浪漫，也把溥仪这个人物塑造的很饱满，尊龙真是帅到炸，陈冲也是美得让人窒息，她的眉毛会演戏…电影节最后一部，也是十四场里唯一一部五星！看到这部才是真的不虚此行啊！,2016-04-23 18:27:17,allstar50 rating,134
心生,看过,少有的一部深刻反省的中国史诗电影，出自一位意大利导演之手，何其悲哀，我们自己在干什么？在遗忘？另外，在电影里看见自己的家乡抚顺，还是比较难得的。,2014-01-17 12:03:14,allstar40 rating,54
sharon,看过,这部片完美的展示了尊龙的仪态和气质,2017-03-22 21:55:12,allstar40 rating,73
翻滚吧！蛋堡,看过,4K3D修复效果太赞！贝托鲁奇娴熟的运镜穿过紫禁城的红墙绿瓦，穿过中国的历史轮回。没有选择的人生和注定被禁锢的宿命，溥仪在弥留之际再次踏入皇宫的结局真是唏嘘！这种片就是会让你爱上电影的理由！,2016-04-16 20:20:21,allstar50 rating,117
爱情海,看过,真没想到外国人拍中国的电影题材，竟然能拍出这种水准。,2017-04-21 22:40:52,allstar40 rating,55
徐若风,看过,看完后，当天无法再说出一句话的电影。,2012-07-27 14:34:59,allstar50 rating,150
瓶子不能倒,看过,西方人拍的东方片，文化的解构明显不同，佝偻着背带笑的太监，荒诞十足。在红卫兵高歌，监狱长打为反派，溥仪进紫禁城买票时，历史回环讽刺。作为皇帝，他曾受万人膜拜，紫禁城是他的家；作为犯人，他曾被打击被监禁。个人的溥仪，自私过，不甘过，却也勇敢过；皇帝的溥仪，历史洪潮中，只是无奈得多。,2016-11-22 21:26:55,allstar50 rating,110
无人应答,看过,溥仪，搁现代社会也是个无能没主见的平凡人，但生于清末作为末代皇帝，是个被时代玩弄的玩偶，更加无能为力地活在每个政府为利用他而编织的童话中。想必他下辈子投胎一定要作平凡人吧。4K修复版画面太美，难以相信这是八十年代的影片！,2016-04-23 18:27:41,allstar50 rating,93
enid,看过,你们。。。。是瞎了吗。。。。。这种电影。。。怎么可能是高分。。。。。。。。。。。。整部电影充满了白人的优越感以及对中国历史文化的不尊重。。。。。。。。。,2010-01-01 23:16:10,allstar20 rating,31
mecca,看过,音乐。,2006-05-03 23:21:16,allstar40 rating,94
你看起来很美味,看过,外国人来讲中国的故事，却丝毫没有偏袒，没有诋毁。这是我最欣赏的一点，在国外，艺术和政治，是可以分开的,2012-06-05 12:06:55,allstar50 rating,132
薇羅尼卡,看过,是好片，尊龙出演，感觉很真实。,2006-03-19 01:48:52,allstar50 rating,129
二十二岛主,看过,中国皇帝的片子，让外国人拍，还拿了奥斯卡……但不得不承认，确实是部好片。,2012-03-10 20:03:48,allstar50 rating,85
幽灵不会哭,看过,重温！不得不佩服贝托鲁奇的勇气，他太喜欢拍摄这种与世不容的异乡人了，他们被历史的洪流席卷，却无法把握自己的命运，影片将大量笔墨花在了溥仪青少年时代的孤独的紫禁城岁月，对满洲国和文革时期更具戏剧性的情节简要带过，“门”的隐喻贯穿始终，其史诗性叙事对中国电影也是影响甚大。,2014-09-07 15:41:19,allstar50 rating,49
惘然,看过,年轻时的坂本龙一那么美，又那么有才华，电影中他是推着摄影机的甘波正彦，电影外是本片的配乐。又是一个明明可以靠脸，却偏要靠才华的人。,2015-06-21 01:36:02,allstar50 rating,59
斯齊佐飛力尼克,看过,在紫禁城里的那段简直就是恐怖片。所以说，当个皇帝有屁意思啊！,2011-12-08 19:36:18,allstar40 rating,37
Pearciac,看过,独自莫凭栏，无限江山，别时容易见时难。,2013-10-11 00:23:31,allstar40 rating,44
冰红深蓝,看过,"1.贝托鲁奇从溥仪个人视角入手，全面还原历史细节，拍出真实而苍凉的史诗传记片；2.光影布景配乐表演尽皆完美；3.当下与闪回双线叙事，加入3P,恋母,Les戏，毫无冷场；4.门的象征，被囚禁的一生，蟋蟀的呼应大妙；5.隔着白丝绸的触摸游戏，庄士敦作主裁的网球混双告别赛，还有结尾的忠字舞！（9.0/10）",2015-04-26 14:58:17,allstar50 rating,45
欢乐分裂,看过,#重看#SIFF@影城；高墙内的百年孤独，时代狂潮中的无数被遗忘或被扭曲的瞬间；一甲子的历史变迁，一个庸人可怜可悲的一生；当main theme回荡，全场都感动坏了，完全被吸进银幕里；修复得极好，3D无必要，光线太美；，各位主演都奉献出了职业生涯最精彩的表演。,2015-06-20 13:28:01,allstar50 rating,34
drunkdoggy,看过,“背负着一个虚假的身份的溥仪，试图为自己装配一个又一个人格，但没一个适合他：先是英国学者和绅士，然后是情场高手和享乐主义者，后来又是国际美食家，随后又是政治家，不幸沦为日本的傀儡。最后，共产党给了他一个最后的身份：花匠。”,2016-04-11 21:15:54,allstar50 rating,52
杨迪,看过,史诗般的作品，音乐非常好听，感触万千。,2012-06-16 21:37:53,allstar50 rating,70
猪头妖怪,看过,别拿大师的名头来唬人，也别扯什么镜头和光影。通片给我的感觉就是生硬、粗糙、不自然，仿佛是一部巨大的木偶戏，一部蹩脚的舞台剧。除了视角和配乐，几无亮点。,2013-06-10 22:31:29,allstar30 rating,40
巴伐利亞酒神,看过,傀儡，傀是人+鬼，一个被鬼压在身下的人；儡，是人加畾，畾指的是古代的一种筐子，儡意为被锁在筐子里的人。一个被人高呼万岁的天子，却从未主宰过自己的命运。每个人都在利用他，时代在无情地碾压他，可他甚至连自杀都做不到。每个人都是浮萍，而荒谬的时代仍在继续。唯一幸运的是这部电影，若不是诞生于80年代末，贝托鲁奇根本走不进故宫，电影也绝无过审的可能。,2018-12-20 00:01:38,allstar50 rating,43
方枪枪,看过,中国最后一个皇帝的命运沉浮，却被外国导演给拍了，而且这历史浮沉的画卷中没有过多的波澜壮阔，却只是平淡不惊中的沉稳更能让人唏嘘感慨。,2015-08-25 17:23:32,allstar40 rating,25
古尔齐亚,看过,好多细节处理的太好了，溥仪隔着布被很多人摸渴望肢体接触那里，太难忘了,2016-05-21 15:15:32,allstar50 rating,65
朝阳区陆依萍,看过,拍的太好了。。。。。中国人自惭形愧吧。。。,2013-03-03 16:45:46,allstar40 rating,23
天马星,看过,近四小时的终剪版。原本以为会感慨万千，当脑中模糊的历史化作一帧帧清晰的影像，却似最熟悉的陌生人，满是疏离感。不过也由于疏离，才得以客观地看待这段历史。溥仪的三次开门而不得，是他被囚禁于世间，结尾小孩打开罐子，溥仪消失，化作蛐蛐出现，是溥仪的死亡亦是他的解脱。,2017-11-22 18:40:30,allstar50 rating,35
brennteiskalt,看过,"[末代皇帝]里全是西方对于东方符号傲慢的好奇以及谄媚的消费。但当影片迈进后半段，在糟烂的台词之后，一条主轴开始浮现：溥仪形象的核心在于他是个没有江山的皇帝，从来没有丝毫改变历史的权利。他的""再教育""因此是成功的。那只老蝈蝈最终爬出了笼子，与此同时皇帝消失了，以及他身后那个帝王的时代。",2014-03-09 10:35:15,allstar40 rating,11
一个甜椒Oli,看过,有些东西不是你有心就可以改变。不是所有有志向的人都可以扶大厦之将倾。车轮一圈一圈向前踏过。在那样的境况下要么你抵死反抗。要么你将一个心藏起混混度日。,2017-03-28 22:56:56,allstar50 rating,45
铃儿响叮当,看过,即使是皇帝又怎样？开心吗？自由吗？,2017-02-28 21:58:52,allstar30 rating,43
游牧人·芳汀,看过,#1080p加长版#“我总以为我恨这里，现在我却害怕离开。”人生如寄，多忧何为？傀儡溥仪无论身处哪个世代，都无法跨过心中那道向往自由的门。这样空前绝后又自由开放的作品能够存在就是我怀念八十年代的最好证明。美男子尊龙更是天人之姿，尘埃之外，卓然独立，超然绝世！不过我是来看坂本龙一的😍,2018-04-08,comment-time ,19
蓝下老婆,看过,末代皇帝的传奇一生，鲜活的时代变迁，拍得挺好的，好看,2017-04-22 09:38:19,allstar40 rating,18
丹朱AI🌵,看过,拍的多半还是西方人想象中的中国。晚年的溥仪穿着破旧的中山装，迈过“禁止入内违者罚款”的牌子走上太和殿，佝偻的背影在紫禁城的落日余晖中越发单薄，既非凄凉，也非解脱。只能说，历史之神是最好的编剧。,2013-09-13 23:17:48,allstar30 rating,14
西帕克,看过,大银幕重看，第一次看3D版，熟悉的旋律一出来就已要流泪。贝托鲁奇作为一个外国人竟将中国的历史轮回拍摄的如此深刻，远超国内任何清宫或抗日题材作品。但也正是贝托鲁奇这样的外国视角，让他更能站在一个不同的位置，在各类庄重的仪式中，准确找到那种荒诞感。,2015-06-22 11:31:57,allstar50 rating,28
丑嘴唇,看过,五年前第一次看这个电影的时候，我期望太多。我期望看到一个“全景式”的历史回顾，还怪罪起外国人省掉了张勋就知道拍些恋乳小家子气。现在再看，溥仪作为几个时代的异类，着眼于他个人的悲剧就是在全景回顾我们苦难的历史。,2015-06-17 00:31:11,allstar50 rating,24
冰山的阴影,看过,所有的离开你都赶不上，所有的门你都打不开。所有的人都是撒谎者。,2012-12-29 11:33:06,allstar50 rating,47
圆首的秘书,看过,这样的电影只有欧洲导演才能拍出来，而末代皇帝只有贝托鲁奇才行。几十年甚至几百年之后，等政治成为历史，一切都烟消云散，汹涌的浪潮终究沉静下来，这部散发着人本主义光芒的电影将仍然会是无上的经典，因为它实在是太美艳，太凄楚，太神秘，太凶狠，太宏大，又太渺小了。2018.12.31 资料馆三刷,2010-02-22 10:29:27,allstar50 rating,30
请保持高冷,看过,在寒冷的冬日，窝在被子里，喝杯热巧克力，看一部好片，真是绝美的享受～,2016-12-28 12:24:04,allstar50 rating,41
已注销,看过,最感慨的便是结局，年老的溥仪，买好一张门票，跨过禁止翻阅的栏杆，走向龙椅。他回答孩子说，过去我也住在这，我是中国最后一个皇帝。熟悉的龙椅下还藏着曾经的蛐蛐罐，童年的蛐蛐似乎依然鲜活，然而这世间已发生了太多变化。,2017-05-17 21:38:17,allstar50 rating,34
萧秋水,看过,经典就是经典。光影叙事，故事的阐述手法，人物的塑造，都可圈可点。悲剧气氛贯穿始终。门，始终关闭，无论是现实中的门，还是命运之门。可惜看的版本不够清楚，效果大打折扣，有谁知道高清链接，烦请告知一下，还想再看。,2016-02-27 23:18:16,allstar50 rating,26
GIVIND,看过,郁郁不得终，终究难舍皇帝遗梦，一辈子的屈辱和傲气，躲过了文革十年怕是一生不幸里的最大的幸运。,2015-07-20 16:02:43,allstar50 rating,34
shu,看过,2019年再看1987年：那个时候我国的文化部长，能参演文革中受迫害的人（原监狱长）。,2012-07-12 11:10:12,allstar50 rating,26
柏林苍穹下,看过,帝皇庶民，都是历史的人质。,2009-06-18 19:52:38,allstar50 rating,33
喜欢吗~,看过,自由，他从来没拥有过。,2017-02-10 21:39:46,allstar40 rating,27
胖胖小君君,看过,"再也没有比溥仪更惨的皇帝了吧
漂泊多灾多难的一生",2017-02-27 09:27:03,allstar40 rating,18
去你妈的,看过,之前很奇怪为什么中国末代皇帝的传记片中国人拍不出来（除审查原因之外，重看一遍发现了，根本原因在于这部片子的母题是“孤独”，尽可能客观地看待孤独（而你国绝大多数人以孤独为耻,2017-02-09 16:33:07,allstar50 rating,20
小野喵子,看过,改朝换代从来都是令人痛心的事，溥仪是一代王朝衰落的牺牲品，悲剧的一生令人同情。这部电影拍摄期间得到中国大量的支持，80年代中后期比现在开放包容得多，可见历史并不总是向前行进的。中国人的历史真相需要由外国人的电影讲述，真是一件可悲的事。,2017-07-09 21:06:29,allstar50 rating,31
汪金卫,看过,163分钟国配版本看完，操，这才叫真正的史诗啊！JDWY神马的就是渣啊！各种呼应，各种大场面，各种华丽丽！为啥中国人就拍不出来！ //3小时38分钟的英语版本看完了。再次被震撼。宫廷场景和文革画面就是现在也拍不出来啊！牛死了。准备啃纪录片//20150620上海影城巨幕3D修复版//20160412资料馆3D,2011-07-13 21:11:42,allstar50 rating,21
曼仔,看过,里面有些东方想象有点猎奇，比如一开头拍慈禧那一段，这种诡异感至今还能在很多奢侈品以中国为主题拍片子的时候遇到（像巴宝莉之前拍的那个），但是有些又非常美，尤其是真实故宫的岁月感和“旧”的感觉，拍的真好。印象最深的是尊龙太美了，也真的是好演员，无论是贵胄公子的桀骜还是后来历经风霜的沧桑，都演出来了。看他那样一张脸饱受时代风暴的蹂躏，实在是太有审美上的震动。陈冲真好。,2019-01-31 01:52:32,allstar50 rating,22
郭连凯,看过,245 这是一段人生，这是一段历史，这更是一部史诗。色彩瑰丽到要流泪。首次观看就是上海电影节的大银幕4K修复版，何其幸运。,2015-06-20 14:16:12,allstar50 rating,16
晚不安,看过,第一部获准在紫禁城内拍摄的故事片，贝托鲁奇用奥斯卡证明他没有辜负这个机会。这部史诗传记片用西方的视角，拍出中国近代的复杂历史。道尽溥仪一生，没有流于表面。是传奇也是悲剧。末代皇帝的命运，为他套上身心的双重枷锁。从一个囚笼，走向另一个囚笼。他是被时代选中的演员，无奈地上演掌权的戏码,2016-04-17 00:31:09,allstar50 rating,15
元宝宝,看过,唯一一部能够在紫禁城实景拍摄的影片，艺术水准还是够的！,2017-05-01 21:12:59,allstar30 rating,23
Hey Johnny,看过,始终觉得看中国人说外语是很别扭，于我这种语境差异一直伴随全片，另觉得外国人看中国的视角到底还是有些偏差。若不考虑那些历史细节是否符实，仅看溥仪一生的悲哀命运，电影讲的不错。一生终究打不开囚禁自己的那扇门，不同阶段被不同人掌控命运。甚至他身边的女人，他所活的那个国那些时代都是悲哀。,2010-12-14 00:46:18,allstar40 rating,11
大耳朵_,看过,☺很喜欢陈冲抽烟的样子。历史片儿竟然居然是外国人拍的→_→   ,2017-04-09 23:17:41,allstar40 rating,19
glow,看过,可以说这里面的溥仪算上史上最帅的皇帝了。最后结尾的时候说溥仪死于1967年，这真的挺好，命运不想让他再次承认自己的罪行。换一个角度，他也只是一个普通的人。最后非常喜欢这部电影的配乐，感谢教授写出这么好的配乐！,2016-06-04 15:56:43,allstar50 rating,19
阿德,看过,电影节目前为止最佳观影体验,2016-04-13 20:50:01,allstar50 rating,27
